,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,building_size
76,M2398399455,condo,424888,0.0,1,1,San Jose,95123,CA,Santa Clara,543
77,M2606604699,condo,745000,0.0,2,2,Fremont,94539,CA,Alameda,1200
78,M2443453978,condo,485000,0.0,1,1,San Jose,95123,CA,Santa Clara,650
79,M2166009832,condo,839000,0.0,1,2,Mountain View,94040,CA,Santa Clara,811
80,M2320170721,condo,558000,1.0,1,3,San Jose,95123,CA,Santa Clara,1156
81,M1004549631,condo,699000,1.0,2,2,San Jose,95136,CA,Santa Clara,1351
82,M1835200060,condo,1698000,1.0,2,2,Los Altos,94022,CA,Santa Clara,1568
83,M9102449998,condo,858485,0.0,3,3,San Jose,95119,CA,Santa Clara,1563
84,M1087906115,condo,1595000,0.0,3,3,Mountain View,94040,CA,Santa Clara,1292
85,M9611838704,condo,759800,0.0,2,2,Fremont,94539,CA,Alameda,1046
86,M2269188556,condo,749000,1.0,2,2,San Jose,95125,CA,Santa Clara,1327
87,M2344763186,condo,869999,0.0,2,2,Campbell,95008,CA,Santa Clara,855
88,M2808074017,condo,850000,1.0,1,3,Fremont,94539,CA,Alameda,1242
89,M1312556068,condo,749000,0.0,3,3,Morgan Hill,95037,CA,Santa Clara,1773
90,M1247128172,condo,1248950,1.0,2,4,San Jose,95129,CA,Santa Clara,1408
91,M1251734627,condo,460000,0.0,1,2,San Jose,95123,CA,Santa Clara,810
92,M2601114747,condo,685000,1.0,2,2,Morgan Hill,95037,CA,Santa Clara,1374
93,M9640531858,condo,1399000,1.0,3,3,Santa Clara,95050,CA,Santa Clara,1950
94,M9562397666,condo,1538140,2.0,3,4,Santa Clara,95051,CA,Santa Clara,1940
95,M2760175909,condo,1049000,1.0,2,3,Fremont,94538,CA,Alameda,1637
96,M1596046043,condo,839000,1.0,2,2,San Jose,95112,CA,Santa Clara,1280
97,M2762998858,condo,430000,0.0,1,1,Santa Clara,95051,CA,Santa Clara,622
98,M2913256269,condo,849999,1.0,2,3,San Jose,95131,CA,Santa Clara,1444
99,M2643304931,condo,499999,0.0,1,1,San Jose,95125,CA,Santa Clara,784
100,M9631491339,condo,909000,1.0,2,2,Fremont,94538,CA,Alameda,1502
101,M1995217908,condo,598888,0.0,2,2,Fremont,94538,CA,Alameda,1052
102,M1670525009,condo,850000,1.0,2,3,Campbell,95008,CA,Santa Clara,1266
103,M1883431453,condo,699000,1.0,1,3,Fremont,94536,CA,Alameda,1166
104,M1539766246,condo,985000,0.0,2,3,San Jose,95125,CA,Santa Clara,1319
105,M2052337335,condo,769900,1.0,2,2,Santa Clara,95050,CA,Santa Clara,1254
106,M1144177688,condo,928000,0.0,2,2,Mountain View,94043,CA,Santa Clara,960
107,M2128111500,condo,709900,0.0,2,2,San Jose,95135,CA,Santa Clara,1509
108,M1096700877,condo,1598000,0.0,3,3,Mountain View,94040,CA,Santa Clara,1292
109,M2124258494,condo,668000,1.0,2,3,Newark,94560,CA,Alameda,1456
110,M1399940058,condo,739900,1.0,2,3,San Jose,95139,CA,Santa Clara,1656
111,M2008679320,condo,640000,1.0,2,2,Morgan Hill,95037,CA,Santa Clara,1613
112,M1514317550,condo,1088888,0.0,2,2,Santa Clara,95051,CA,Santa Clara,1524
113,M2914843052,condo,1295000,0.0,3,3,Stanford,94305,CA,Santa Clara,1753
114,M1246194044,condo,968000,0.0,3,3,San Jose,95133,CA,Santa Clara,1489
115,M2307981700,condo,849000,1.0,2,2,Campbell,95008,CA,Santa Clara,1190
116,M1425834813,condo,969888,1.0,2,4,San Jose,95126,CA,Santa Clara,1581
117,M9021120814,condo,975000,0.0,2,2,San Jose,95136,CA,Santa Clara,1668
118,M2257690348,condo,699000,1.0,2,3,Morgan Hill,95037,CA,Santa Clara,1759
119,M1866778835,condo,1200000,0.0,2,3,Sunnyvale,94087,CA,Santa Clara,1296
