,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,building_size
154,M2345962330,condo,325000.0,1.0,2,3,Fair Oaks,95628,CA,Sacramento,1684
155,M1403100080,condo,350000.0,0.0,4,3,Rancho Cordova,95670,CA,Sacramento,1658
156,M2106491383,condo,315000.0,0.0,2,3,Carmichael,95608,CA,Sacramento,1357
157,M1195625844,condo,285000.0,0.0,2,2,Citrus Heights,95621,CA,Sacramento,1157
158,M2725863453,condo,339500.0,0.0,2,2,West Sacramento,95691,CA,Yolo,1728
159,M2372532947,condo,294999.0,1.0,2,3,Citrus Heights,95610,CA,Sacramento,1621
160,M1543824289,condo,310000.0,0.0,2,3,Citrus Heights,95621,CA,Sacramento,1369
161,M1631545931,condo,375000.0,0.0,2,2,Sacramento,95814,CA,Sacramento,840
162,M2909360220,condo,234950.0,0.0,2,3,Sacramento,95842,CA,Sacramento,1456
163,M1157089739,condo,649000.0,0.0,3,4,Sacramento,95825,CA,Sacramento,2537
164,M2959904210,condo,263000.0,0.0,2,2,Antelope,95843,CA,Sacramento,940
165,M2536256752,condo,509950.0,0.0,2,2,Sacramento,95825,CA,Sacramento,2039
166,M1266622233,condo,278500.0,1.0,2,2,Sacramento,95835,CA,Sacramento,1288
167,M1158816323,condo,167000.0,0.0,1,1,Sacramento,95825,CA,Sacramento,527
168,M2752940567,condo,174999.0,0.0,1,2,Sacramento,95826,CA,Sacramento,924
169,M2641485654,condo,285000.0,0.0,2,2,Elk Grove,95758,CA,Sacramento,1076
170,M2459676247,condo,145000.0,0.0,1,1,Sacramento,95825,CA,Sacramento,725
171,M1242410927,condo,280000.0,1.0,2,3,West Sacramento,95691,CA,Yolo,1502
172,M1177250614,condo,267500.0,0.0,2,2,Sacramento,95835,CA,Sacramento,1303
173,M2994007623,condo,357500.0,0.0,2,2,Sacramento,95831,CA,Sacramento,1297
174,M2408677762,condo,155000.0,0.0,1,2,Sacramento,95823,CA,Sacramento,1034
175,M1468871107,condo,295000.0,0.0,2,2,Sacramento,95833,CA,Sacramento,1134
176,M2222412888,condo,279950.0,1.0,2,2,Sacramento,95835,CA,Sacramento,1254
177,M1471852382,condo,169777.0,0.0,1,2,Sacramento,95833,CA,Sacramento,956
178,M2740577018,condo,275000.0,0.0,2,2,Elk Grove,95758,CA,Sacramento,1239
179,M1789480218,condo,139900.0,0.0,1,1,Sacramento,95825,CA,Sacramento,642
180,M2484345294,condo,375000.0,1.0,2,3,Sacramento,95825,CA,Sacramento,1821
181,M2702605161,condo,210000.0,0.0,2,2,Antelope,95843,CA,Sacramento,890
182,M2805783673,condo,205000.0,0.0,2,2,Citrus Heights,95621,CA,Sacramento,929
183,M1146223980,condo,310000.0,0.0,2,3,Sacramento,95835,CA,Sacramento,1351
184,M1175573647,condo,322980.0,1.0,2,3,Sacramento,95835,CA,Sacramento,1354
185,M2160600034,condo,359000.0,1.0,2,3,Roseville,95678,CA,Placer,1337
186,M2325950519,condo,250000.0,1.0,1,2,Fair Oaks,95628,CA,Sacramento,1260
187,M2763392365,condo,187000.0,0.0,2,2,Citrus Heights,95621,CA,Sacramento,929
188,M2488521006,condo,120000.0,0.0,1,2,Sacramento,95823,CA,Sacramento,896
189,M2476948968,condo,150000.0,1.0,1,2,Sacramento,95823,CA,Sacramento,988
190,M1499131052,condo,184999.0,0.0,1,2,Sacramento,95833,CA,Sacramento,956
191,M1662930461,condo,289000.0,1.0,1,2,Roseville,95678,CA,Placer,941
192,M2742797904,condo,214500.0,0.0,1,2,Sacramento,95831,CA,Sacramento,1074
193,M2711412488,condo,146000.0,0.0,1,1,Sacramento,95825,CA,Sacramento,688
194,M1427436726,condo,430000.0,1.0,2,4,Roseville,95747,CA,Placer,2123
195,M2682465350,condo,250000.0,0.0,1,1,Sacramento,95835,CA,Sacramento,1125
196,M2950550244,condo,168000.0,0.0,1,1,Sacramento,95841,CA,Sacramento,682
197,M2786659918,condo,239000.0,0.0,1,2,Sacramento,95831,CA,Sacramento,932
198,M1330593119,condo,205000.0,0.0,2,2,Citrus Heights,95621,CA,Sacramento,1014
199,M2251015219,condo,315000.0,1.0,2,2,Carmichael,95608,CA,Sacramento,1407
