,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,building_size
146,M2980671580,condo,1550000,0.0,1.0,3,San Francisco,94115,CA,San Francisco,1530
147,M1170764964,condo,1200000,1.0,3.0,4,Alameda,94501,CA,Alameda,2073
148,M1095815299,condo,3100000,0.0,2.0,2,San Francisco,94133,CA,San Francisco,1681
149,M2703107319,condo,749000,0.0,2.0,3,Oakland,94610,CA,Alameda,1116
150,M2207771013,condo,1695000,0.0,2.0,3,San Francisco,94118,CA,San Francisco,1798
151,M1387316316,condo,2950000,1.0,2.0,3,San Francisco,94115,CA,San Francisco,2187
152,M1542808907,condo,1625000,0.0,2.0,2,San Francisco,94115,CA,San Francisco,1569
153,M2118662305,condo,465000,0.0,1.0,1,Alameda,94501,CA,Alameda,778
154,M2139901172,condo,799000,0.0,1.0,2,San Francisco,94131,CA,San Francisco,990
155,M2326492083,condo,1495000,0.0,2.0,3,San Francisco,94127,CA,San Francisco,1636
156,M9009063103,condo,1865000,0.0,2.0,2,San Francisco,94105,CA,San Francisco,1547
157,M9161572061,condo,1705000,0.0,2.0,2,San Francisco,94105,CA,San Francisco,1258
158,M2319760704,condo,659000,0.0,2.0,2,Emeryville,94608,CA,Alameda,1104
159,M9066562050,condo,910000,0.0,1.0,1,San Francisco,94105,CA,San Francisco,638
160,M1200687927,condo,995000,0.0,2.0,2,Oakland,94607,CA,Alameda,1451
161,M1495418487,condo,849000,0.0,1.0,0,San Francisco,94158,CA,San Francisco,538
162,M2933029413,condo,2198000,0.0,2.0,3,San Francisco,94122,CA,San Francisco,2125
163,M1440345752,condo,2699000,0.0,2.0,2,San Francisco,94105,CA,San Francisco,1491
164,M2152120855,condo,630000,0.0,1.0,1,Sausalito,94965,CA,Marin,766
165,M2527850577,condo,475000,0.0,1.0,1,Oakland,94607,CA,Alameda,880
166,M2738180289,condo,649000,0.0,1.0,1,Oakland,94607,CA,Alameda,958
167,M2292358863,condo,900000,1.0,2.0,2,Alameda,94502,CA,Alameda,1658
168,M2323590718,condo,1245000,0.0,2.0,2,San Francisco,94104,CA,San Francisco,985
169,M1411352849,condo,1638000,0.0,2.0,2,San Francisco,94105,CA,San Francisco,1189
170,M2736781885,condo,4895000,1.0,4.0,4,San Francisco,94131,CA,San Francisco,4140
171,M2025198891,condo,950000,0.0,1.0,1,San Francisco,94107,CA,San Francisco,797
172,M1685827035,condo,1299000,0.0,1.0,1,San Francisco,94111,CA,San Francisco,1277
173,M2994272702,condo,1595000,1.0,1.0,3,San Francisco,94123,CA,San Francisco,1405
174,M1004879335,condo,449800,0.0,1.0,1,Oakland,94612,CA,Alameda,767
175,M1025121806,condo,1100000,0.0,2.0,2,San Francisco,94133,CA,San Francisco,1161
176,M9176485646,condo,1595000,0.0,2.0,2,San Francisco,94133,CA,San Francisco,1245
177,M1633999647,condo,1399000,0.0,2.0,2,San Francisco,94107,CA,San Francisco,1206
178,M1631455810,condo,1150000,1.0,1.0,1,San Francisco,94115,CA,San Francisco,972
179,M1435948371,condo,2750000,0.0,2.0,3,San Francisco,94158,CA,San Francisco,1565
180,M2427564346,condo,1095000,0.0,1.0,3,San Francisco,94109,CA,San Francisco,1445
181,M2969004804,condo,598000,0.0,1.0,2,Oakland,94610,CA,Alameda,984
182,M2466056154,condo,640000,0.0,1.0,1,Oakland,94612,CA,Alameda,861
183,M1483866045,condo,1595000,0.0,2.0,2,San Francisco,94107,CA,San Francisco,1237
184,M2210454433,condo,1495000,0.0,1.0,1,San Francisco,94123,CA,San Francisco,1132
185,M2344542555,condo,699000,0.0,2.0,2,Emeryville,94608,CA,Alameda,1104
186,M1263588987,condo,1198000,0.0,2.0,2,San Francisco,94107,CA,San Francisco,1073
187,M1235187386,condo,949000,0.0,1.0,2,San Francisco,94110,CA,San Francisco,1032
