,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,lot_size,building_size
53,M1390755638,single_family,1299000,0.0,2,2,San Francisco,94116,CA,San Francisco,2996,1428
54,M1257704087,single_family,1395000,0.0,2,3,Oakland,94610,CA,Alameda,10136,2481
55,M2013276572,single_family,1198000,0.0,3,4,Alameda,94501,CA,Alameda,3360,2213
56,M2378738934,single_family,1499000,0.0,2,3,San Francisco,94127,CA,San Francisco,2543,2060
57,M2405007541,single_family,4950000,1.0,4,5,Sausalito,94965,CA,Marin,11761,4845
58,M2874372820,single_family,1300000,0.0,1,2,San Francisco,94122,CA,San Francisco,2996,1100
59,M2430311115,single_family,1949000,1.0,2,3,Sausalito,94965,CA,Marin,13939,2056
60,M1775775219,single_family,1199000,0.0,2,3,Oakland,94609,CA,Alameda,3300,1380
61,M1189470146,single_family,1220000,0.0,1,3,Oakland,94610,CA,Alameda,4500,1345
62,M2523781130,single_family,1249000,0.0,2,4,San Francisco,94134,CA,San Francisco,2375,1979
63,M2440119089,single_family,699000,0.0,2,3,San Francisco,94112,CA,San Francisco,2500,1830
64,M2407447466,single_family,3495000,2.0,3,4,Piedmont,94611,CA,Alameda,10004,4808
65,M2440226974,single_family,1095000,0.0,2,3,Oakland,94602,CA,Alameda,5160,1386
66,M2800491361,single_family,1650000,1.0,2,5,Berkeley,94703,CA,Alameda,5200,2199
67,M1678476992,single_family,1195000,1.0,1,4,Alameda,94501,CA,Alameda,4240,2051
68,M1870061203,single_family,895000,0.0,1,2,Alameda,94501,CA,Alameda,4900,1195
69,M2587121157,single_family,899900,0.0,1,2,Daly City,94014,CA,San Mateo,3000,1060
70,M2411583986,single_family,3695000,1.0,3,4,Piedmont,94611,CA,Alameda,7544,3828
71,M2379833403,single_family,3600000,2.0,2,4,Piedmont,94611,CA,Alameda,16758,3205
