,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size
47,M1977354406,condo,499000,0.0,1,1,Playa Del Rey,8675 Falmouth Ave Apt 115,90293,CA,Los Angeles,686
48,M1821943351,condo,320000,1.0,1,2,Torrance,1444 W 227th St Apt 11,90501,CA,Los Angeles,1097
49,M1368229981,condo,365000,0.0,2,2,Tarzana,18619 Collins St Apt F28,91356,CA,Los Angeles,966
50,M2321118051,condo,439000,0.0,1,1,Los Angeles,3810 Wilshire Blvd Apt 1109,90010,CA,Los Angeles,710
51,M1488821868,condo,499000,0.0,1,2,Los Angeles,4501 Finley Ave Apt 10,90027,CA,Los Angeles,982
52,M2830102745,condo,1200000,0.0,2,2,Pacific Palisades,16040 W Sunset Blvd Unit 101,90272,CA,Los Angeles,1187
53,M1882357986,condo,699000,0.0,2,2,Los Angeles,1130 S Flower St Apt 316,90015,CA,Los Angeles,1438
54,M1412635911,condo,1150000,0.0,3,4,Los Angeles,1253 Granville Ave Unit 104,90025,CA,Los Angeles,2093
55,M2176109114,condo,895000,0.0,3,3,Playa Del Rey,8329 Pershing Dr,90293,CA,Los Angeles,1729
56,M1186518890,condo,775000,0.0,2,2,Los Angeles,6001 Carlton Way Apt 206,90028,CA,Los Angeles,1150
57,M2939120148,condo,339000,0.0,1,1,Los Angeles,210 S La Fayette Park Pl,90057,CA,Los Angeles,472
58,M2476134925,condo,1299000,0.0,2,2,Los Angeles,1100 S Grand Ave Unit A005,90015,CA,Los Angeles,1740
59,M9044674088,condo,1749000,0.0,3,3,Los Angeles,1013 E 8th St,90021,CA,Los Angeles,5680
60,M1921679088,condo,769000,0.0,2,2,Playa Del Rey,8828 Pershing Dr Apt 204,90293,CA,Los Angeles,1407
61,M9337658937,condo,575000,0.0,1,1,Los Angeles,1126 W Edgeware Rd Units 1 & 2,90026,CA,Los Angeles,780
62,M2224135775,condo,775000,1.0,2,2,Los Angeles,4444 Wilshire Blvd Apt 206,90010,CA,Los Angeles,1662
63,M1243104306,condo,795000,0.0,2,3,Los Angeles,848 Irolo St Apt 508,90005,CA,Los Angeles,1600
64,M1104390257,condo,699000,0.0,2,2,Studio City,4243 Colfax Ave Unit F,91604,CA,Los Angeles,1350
65,M2940495839,condo,725000,0.0,2,1,Los Angeles,100 S Doheny Dr Apt 516,90048,CA,Los Angeles,844
66,M2595015878,condo,3295000,1.0,2,3,Marina del Rey,3711 Ocean Front Walk Apt 2,90292,CA,Los Angeles,2370
67,M1692444230,condo,525000,0.0,3,3,Sylmar,15151 Foothill Blvd Unit 15,91342,CA,Los Angeles,1530
68,M1176686185,condo,890000,0.0,2,2,Studio City,4311 Colfax Ave Unit 219,91604,CA,Los Angeles,1647
69,M2496015496,condo,439000,1.0,2,3,Chatsworth,9950 Topanga Canyon Blvd Unit 55,91311,CA,Los Angeles,1445
70,M2274254096,condo,439950,0.0,2,2,North Hollywood,5706 Fair Ave Apt 115,91601,CA,Los Angeles,923
71,M1893728409,condo,420000,0.0,2,3,Reseda,19545 Sherman Way Unit 94,91335,CA,Los Angeles,1363
72,M1189112066,condo,699999,0.0,3,3,Porter Ranch,11314 Paseo El Sol,91326,CA,Los Angeles,1582
73,M2760678220,condo,250000,0.0,1,1,Canoga Park,21800 Schoenborn St Unit 215,91304,CA,Los Angeles,511
74,M2795310875,condo,450000,0.0,1,2,Los Angeles,1425 W 12th St Apt 145,90015,CA,Los Angeles,859
75,M1849269436,condo,549900,0.0,2,2,Los Angeles,358 S Gramercy Pl Apt 210,90020,CA,Los Angeles,1169
76,M1530276820,condo,429900,0.0,2,3,North Hollywood,7810 Laurel Canyon Blvd Unit 5,91605,CA,Los Angeles,1257
77,M2778006883,condo,469000,1.0,2,2,Canoga Park,20921 Community St Apt 22,91304,CA,Los Angeles,1465
78,M2385380981,condo,1050000,0.0,2,1,Los Angeles,889 Francisco St Unit 1903,90017,CA,Los Angeles,977
79,M1695994614,condo,380000,0.0,2,2,Los Angeles,5830 Benner St Apt 201,90042,CA,Los Angeles,753
80,M1747371296,condo,755000,0.0,3,3,San Pedro,1129 W Capitol Dr Unit 63,90732,CA,Los Angeles,2013
81,M1122597924,condo,1200000,0.0,3,3,Los Angeles,1710 Granville Ave Apt 6,90025,CA,Los Angeles,1726
82,M1089015166,condo,389999,0.0,1,2,Los Angeles,5605 Clemson St,90016,CA,Los Angeles,748
83,M1752321369,condo,549000,1.0,2,2,Valley Village,4807 Beck Ave Unit 20,91601,CA,Los Angeles,1122
84,M1854024955,condo,454900,0.0,2,2,Los Angeles,4080 Via Marisol Apt 136,90042,CA,Los Angeles,1100
85,M2337523443,condo,550000,0.0,3,3,Northridge,10006 Reseda Blvd Unit B,91324,CA,Los Angeles,1894
86,M1755002345,condo,378000,0.0,3,2,Harbor City,1070 252nd St Unit C,90710,CA,Los Angeles,1328
87,M1024522187,condo,385000,0.0,2,3,Winnetka,20202 Cohasset St Unit 10,91306,CA,Los Angeles,1340
88,M2062603904,condo,343000,0.0,1,1,San Pedro,306 S Miraleste Dr Unit 56,90732,CA,Los Angeles,771
89,M1911289928,condo,549945,0.0,3,3,Sun Valley,10831 Roycroft St Unit 38,91352,CA,Los Angeles,1385
90,M1926045501,condo,500000,0.0,2,2,Los Angeles,970 S Kingsley Dr Apt 208,90006,CA,Los Angeles,1177
91,M2957671067,condo,462000,0.0,3,2,Woodland Hills,6255 Randi Ave Unit 61,91367,CA,Los Angeles,1519
92,M2816871654,condo,319000,0.0,1,2,Winnetka,20134 Leadwell St Unit 223,91306,CA,Los Angeles,786
93,M2623261020,condo,795000,0.0,2,2,Sherman Oaks,15150 Dickens St Apt 304,91403,CA,Los Angeles,1734
94,M1664673553,condo,2150000,1.0,3,3,Los Angeles,12357 Ridge Cir,90049,CA,Los Angeles,3500
95,M2347831588,condo,227500,0.0,1,2,Pacoima,12601 Van Nuys Blvd Unit 247,91331,CA,Los Angeles,670
